Date,Open,High,Low,Close,Adjusted_Close,Volume
7/16/1981,0.111607,0.112723,0.111607,0.111607,0.086254,15232000
7/17/1981,0.115513,0.116071,0.115513,0.115513,0.089273,19824000
7/20/1981,0.108259,0.108259,0.107701,0.107701,0.083235,23654400
7/21/1981,0.107701,0.107701,0.107143,0.107143,0.082804,31942400
7/22/1981,0.102121,0.102121,0.101004,0.101004,0.07806,22668800
7/23/1981,0.103795,0.104353,0.103795,0.103795,0.080217,34451200
7/24/1981,0.107143,0.107701,0.107143,0.107143,0.082804,28851200
7/27/1981,0.111607,0.112165,0.111607,0.111607,0.086254,17337600
7/28/1981,0.108259,0.108259,0.107701,0.107701,0.083235,22848000
7/29/1981,0.106585,0.106585,0.106027,0.106027,0.081942,15500800
7/30/1981,0.109933,0.111049,0.109933,0.109933,0.08496,9900800
7/31/1981,0.111607,0.112165,0.111607,0.111607,0.086254,10953600
08/03/1981,0.111607,0.111607,0.110491,0.110491,0.085392,12432000
08/04/1981,0.112165,0.112723,0.112165,0.112165,0.086685,31673600
08/05/1981,0.115513,0.116071,0.115513,0.115513,0.089273,17494400
08/06/1981,0.113281,0.113281,0.112723,0.112723,0.087116,10528000
08/07/1981,0.112723,0.113281,0.112723,0.112723,0.087116,9206400
08/10/1981,0.112723,0.112723,0.112723,0.112723,0.087116,0
08/11/1981,0.110491,0.110491,0.109375,0.109375,0.084529,71456000
08/12/1981,0.107701,0.107701,0.107143,0.107143,0.082804,26275200
8/13/1981,0.104353,0.104353,0.103795,0.103795,0.080217,27484800
8/14/1981,0.103237,0.103237,0.102121,0.102121,0.078923,24192000
8/17/1981,0.099888,0.099888,0.098772,0.098772,0.076335,18905600
8/18/1981,0.097656,0.097656,0.09654,0.09654,0.07461,17001600
8/19/1981,0.09654,0.09654,0.095424,0.095424,0.073747,20675200
8/20/1981,0.09654,0.097098,0.09654,0.09654,0.07461,17113600
8/21/1981,0.09096,0.09096,0.089844,0.089844,0.069435,41910400
8/24/1981,0.084821,0.084821,0.084263,0.084263,0.065122,23072000
8/25/1981,0.086496,0.087054,0.086496,0.086496,0.066847,40700800
8/26/1981,0.085379,0.085379,0.084821,0.084821,0.065553,33600000
8/27/1981,0.085379,0.085938,0.085379,0.085379,0.065984,25916800
8/28/1981,0.089844,0.090402,0.089844,0.089844,0.069435,38035200
8/31/1981,0.089844,0.090402,0.089844,0.089844,0.069435,40947200
09/01/1981,0.095424,0.095982,0.095424,0.095424,0.073747,37027200
09/02/1981,0.097098,0.097656,0.097098,0.097098,0.075041,19376000
09/03/1981,0.093192,0.093192,0.092076,0.092076,0.07116,37475200
09/04/1981,0.091518,0.091518,0.09096,0.09096,0.070297,15254400
09/08/1981,0.088728,0.088728,0.08817,0.08817,0.068141,25446400
09/09/1981,0.08817,0.088728,0.08817,0.08817,0.068141,30531200
09/10/1981,0.088728,0.089286,0.088728,0.088728,0.068572,34809600
09/11/1981,0.08817,0.08817,0.087612,0.087612,0.06771,17539200
9/14/1981,0.085379,0.085379,0.084821,0.084821,0.065553,27686400
9/15/1981,0.083147,0.083147,0.082589,0.082589,0.063828,19510400
9/16/1981,0.081473,0.081473,0.080915,0.080915,0.062534,19353600
9/17/1981,0.079241,0.079241,0.078683,0.078683,0.060809,19376000
9/18/1981,0.079241,0.079799,0.079241,0.079241,0.06124,26320000
9/21/1981,0.079799,0.080357,0.079799,0.079799,0.061672,49033600
9/22/1981,0.075893,0.075893,0.075335,0.075335,0.058222,47420800
9/23/1981,0.074777,0.074777,0.073661,0.073661,0.056928,28201600
9/24/1981,0.073661,0.073661,0.073103,0.073103,0.056497,18300800
9/25/1981,0.064732,0.064732,0.063616,0.063616,0.049165,34608000
9/28/1981,0.064174,0.064732,0.064174,0.064174,0.049596,91728000
9/29/1981,0.067522,0.06808,0.067522,0.067522,0.052183,94684800
9/30/1981,0.06808,0.068638,0.06808,0.06808,0.052615,49996800
10/01/1981,0.06808,0.068638,0.06808,0.06808,0.052615,61129600
10/02/1981,0.073661,0.074219,0.073661,0.073661,0.056928,45046400
10/05/1981,0.075893,0.077009,0.075893,0.075893,0.058653,43097600
10/06/1981,0.075893,0.075893,0.075335,0.075335,0.058222,28358400
10/07/1981,0.079799,0.080915,0.079799,0.079799,0.061672,38841600
10/08/1981,0.082589,0.083147,0.082589,0.082589,0.063828,31091200
10/09/1981,0.083147,0.084263,0.083147,0.083147,0.064259,54521600
10/12/1981,0.085938,0.086496,0.085938,0.085938,0.066416,27350400
10/13/1981,0.085938,0.087054,0.085938,0.085938,0.066416,44195200
10/14/1981,0.081473,0.081473,0.080915,0.080915,0.062534,30979200
10/15/1981,0.082589,0.083147,0.082589,0.082589,0.063828,29433600
10/16/1981,0.082031,0.082031,0.081473,0.081473,0.062965,36467200
10/19/1981,0.083147,0.083705,0.083147,0.083147,0.064259,20585600
10/20/1981,0.087612,0.08817,0.087612,0.087612,0.06771,35728000
10/21/1981,0.087612,0.08817,0.087612,0.087612,0.06771,76899200
10/22/1981,0.087612,0.087612,0.087054,0.087054,0.067279,32278400
10/23/1981,0.085379,0.085379,0.084821,0.084821,0.065553,27910400
10/26/1981,0.084821,0.085379,0.084821,0.084821,0.065553,27283200
10/27/1981,0.086496,0.087612,0.086496,0.086496,0.066847,85590400
10/28/1981,0.089286,0.089844,0.089286,0.089286,0.069004,44172800
10/29/1981,0.088728,0.088728,0.08817,0.08817,0.068141,30486400
10/30/1981,0.089286,0.089844,0.089286,0.089286,0.069004,52729600
11/02/1981,0.089286,0.089844,0.089286,0.089286,0.069004,36915200
11/03/1981,0.088728,0.088728,0.08817,0.08817,0.068141,28380800
11/04/1981,0.086496,0.086496,0.085938,0.085938,0.066416,23811200
11/05/1981,0.080357,0.080357,0.079799,0.079799,0.061672,23363200
11/06/1981,0.080357,0.080915,0.080357,0.080357,0.062103,24595200
11/09/1981,0.081473,0.082031,0.081473,0.081473,0.062965,20384000
11/10/1981,0.082031,0.082589,0.082031,0.082031,0.063397,16755200
11/11/1981,0.084263,0.084821,0.084263,0.084263,0.065122,27440000
11/12/1981,0.087054,0.087612,0.087054,0.087054,0.067279,39916800
11/13/1981,0.081473,0.081473,0.080915,0.080915,0.062534,21011200
11/16/1981,0.080357,0.080357,0.079799,0.079799,0.061672,22556800
11/17/1981,0.081473,0.082031,0.081473,0.081473,0.062965,35414400
11/18/1981,0.084263,0.084821,0.084263,0.084263,0.065122,29142400
11/19/1981,0.084263,0.084821,0.084263,0.084263,0.065122,40006400
11/20/1981,0.084821,0.085379,0.084821,0.084821,0.065553,38102400
11/23/1981,0.082031,0.082031,0.080915,0.080915,0.062534,22960000
11/24/1981,0.080915,0.080915,0.080357,0.080357,0.062103,22153600
11/25/1981,0.082031,0.082589,0.082031,0.082031,0.063397,52550400
11/27/1981,0.084263,0.084821,0.084263,0.084263,0.065122,37251200
